customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C00035,Female,0,No,Yes,59,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,One year,No,Electronic check,72.62,4284.58,No
C00036,Male,0,No,Yes,62,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),118.02,7317.24,No
C00037,Female,0,No,Yes,2,Yes,No,DSL,No,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),99.86,199.72,Yes
C00038,Female,1,No,No,59,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),32.19,1899.21,No
C00039,Female,0,Yes,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24.79,24.79,Yes
C00040,Female,0,Yes,No,32,Yes,No,DSL,Yes,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),88.7,2838.4,No
C00041,Male,0,Yes,No,56,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Two year,No,Electronic check,66.63,3731.28,No
C00042,Male,0,Yes,Yes,70,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),77.92,5454.4,No
C00043,Female,0,Yes,Yes,59,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,23.73,1400.07,Yes
C00044,Male,0,No,Yes,59,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,65.42,3859.78,No
C00045,Female,0,Yes,Yes,20,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),95.16,1903.2,Yes
C00046,Male,0,No,No,39,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),115.57,4507.23,Yes
C00047,Male,0,Yes,No,50,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),38.49,1924.5,No
C00048,Female,0,Yes,No,16,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),107.21,1715.36,No
C00049,Male,0,Yes,Yes,2,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Credit card (automatic),119.74,239.48,No
C00050,Female,0,Yes,Yes,32,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),32.66,1045.12,No
C00051,Male,0,Yes,Yes,48,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,109.27,5244.96,No
C00052,Female,0,Yes,Yes,33,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,32.84,1083.72,Yes
C00053,Female,0,No,No,38,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),96.83,3679.54,No
C00054,Female,0,Yes,No,25,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,50.35,1258.75,Yes
C00055,Female,0,Yes,No,54,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,No,Bank transfer (automatic),81.39,4395.06,No
C00056,Male,0,No,No,68,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),66.61,4529.48,No
C00057,Female,0,No,No,8,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,No,Electronic check,109.45,875.6,No
C00058,Male,0,No,No,59,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,27.35,1613.65,No
C00059,Female,0,Yes,Yes,38,Yes,No,DSL,No,No,No,No,No,Yes,One year,Yes,Electronic check,118.52,4503.76,No
C00060,Female,1,Yes,Yes,27,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Credit card (automatic),105.64,2852.28,No
C00061,Female,0,No,No,64,Yes,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),37.28,2385.92,No
C00062,Female,0,No,No,4,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),51.7,206.8,No
C00063,Female,0,No,No,30,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,39.08,1172.4,No
C00064,Male,0,No,No,37,Yes,No,DSL,No,No,No,Yes,Yes,Yes,One year,No,Mailed check,114.98,4254.26,No
C00065,Female,1,No,No,60,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),37.06,2223.6,No
C00066,Male,0,No,Yes,33,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,72.18,2381.94,Yes
C00067,Female,0,No,No,54,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Two year,No,Bank transfer (automatic),98.72,5330.88,No
C00068,Female,0,No,No,32,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Mailed check,33.42,1069.44,No
C00069,Male,0,Yes,Yes,2,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,26.45,52.9,No
C00070,Male,0,No,Yes,48,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,88.7,4257.6,No
C00071,Male,0,No,Yes,50,Yes,No,DSL,No,Yes,No,No,No,No,Two year,No,Mailed check,110.7,5535.0,No
C00072,Female,0,Yes,No,57,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Electronic check,93.95,5355.15,Yes
C00073,Female,0,Yes,No,16,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,53.55,856.8,No
C00074,Male,0,No,No,66,Yes,Yes,No,No,No,No,No,No,No,One year,No,Credit card (automatic),28.77,1898.82,No
C00075,Female,0,No,No,58,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Electronic check,30.85,1789.3,No
C00076,Female,0,No,Yes,49,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),52.61,2577.89,No
C00077,Female,0,No,No,60,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),72.87,4372.2,No
C00078,Male,0,No,Yes,5,Yes,Yes,DSL,Yes,No,No,No,Yes,No,One year,No,Bank transfer (automatic),82.01,410.05,No
C00079,Female,0,No,Yes,47,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,98.97,4651.59,Yes
C00080,Female,0,Yes,No,30,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,52.87,1586.1,No
C00081,Female,0,No,Yes,58,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,21.57,1251.06,Yes
C00082,Female,1,Yes,Yes,23,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.98,1839.54,No
C00083,Female,0,No,Yes,1,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Mailed check,80.96,80.96,No
C00084,Male,0,Yes,Yes,1,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,116.84,116.84,No
C00085,Female,0,Yes,Yes,22,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),101.1,2224.2,Yes
C00086,Female,0,No,No,51,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,No,Mailed check,103.05,5255.55,Yes
C00087,Male,0,Yes,Yes,69,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),21.88,1509.72,No
C00088,Male,1,No,Yes,69,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),83.19,5740.11,Yes
C00089,Male,0,No,Yes,39,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Electronic check,74.24,2895.36,No
C00090,Female,0,Yes,Yes,10,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),116.44,1164.4,No
C00091,Female,0,Yes,No,10,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,No,Electronic check,93.81,938.1,No
C00092,Female,1,Yes,Yes,69,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),97.88,6753.72,No
C00093,Female,1,No,Yes,2,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Mailed check,20.53,41.06,No
C00094,Male,1,No,Yes,24,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,97.4,2337.6,No
C00095,Male,0,No,Yes,61,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),88.19,5379.59,No
C00096,Female,0,No,Yes,33,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.6,3154.8,No
C00097,Female,0,No,Yes,12,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,57.05,684.6,Yes
C00098,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Mailed check,73.56,2574.6,No
C00099,Male,0,No,Yes,34,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),68.25,2320.5,No
C00100,Male,0,No,Yes,29,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),52.74,1529.46,No
C00101,Female,1,Yes,No,36,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),23.55,847.8,No
C00102,Male,0,Yes,Yes,49,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,101.22,4959.78,Yes
C00103,Female,0,No,No,24,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,110.7,2656.8,No
C00104,Male,0,Yes,Yes,55,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),35.02,1926.1,No
C00105,Male,0,No,Yes,17,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,87.4,1485.8,No
C00106,Male,0,Yes,No,13,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),112.69,1464.97,No
C00107,Male,0,No,Yes,19,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,No,Credit card (automatic),56.39,1071.41,No
C00108,Female,1,No,Yes,52,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Mailed check,90.14,4687.28,No
C00109,Female,0,Yes,No,12,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,No,Electronic check,73.01,876.12,No
C00110,Female,0,Yes,Yes,23,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,35.63,819.49,Yes
C00111,Male,1,Yes,No,58,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),54.03,3133.74,No
C00112,Male,0,Yes,Yes,18,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Mailed check,39.37,708.66,No
C00113,Male,0,No,Yes,17,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),22.02,374.34,Yes
C00114,Female,0,Yes,No,42,Yes,No,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,77.77,3266.34,No
C00115,Male,0,No,Yes,29,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),55.94,1622.26,No
C00116,Female,0,Yes,No,65,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Mailed check,111.63,7255.95,No
C00117,Male,1,Yes,No,45,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,No,Mailed check,102.74,4623.3,No
C00118,Male,0,No,Yes,61,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,76.46,4664.06,No
C00119,Male,0,Yes,Yes,19,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),22.22,422.18,No
C00120,Male,0,No,Yes,58,Yes,No,DSL,Yes,No,No,No,No,No,Two year,Yes,Credit card (automatic),101.87,5908.46,No
C00121,Male,0,No,Yes,39,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,102.22,3986.58,No
C00122,Male,1,No,No,63,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Electronic check,83.44,5256.72,Yes
C00123,Male,0,Yes,Yes,6,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,36.04,216.24,No
C00124,Female,0,No,No,47,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Electronic check,112.38,5281.86,No
C00125,Female,1,Yes,Yes,36,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),31.08,1118.88,No
C00126,Male,0,No,Yes,49,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),33.91,1661.59,No
C00127,Male,0,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Electronic check,113.08,339.24,Yes
C00128,Female,0,No,Yes,16,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,112.32,1797.12,No
C00129,Female,0,No,No,8,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),61.88,495.04,No
C00130,Male,0,Yes,Yes,60,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Electronic check,90.86,5451.6,Yes
C00131,Male,1,Yes,Yes,64,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),81.73,5230.72,Yes
C00132,Female,0,No,Yes,29,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),59.32,1720.28,Yes
C00133,Male,1,Yes,No,69,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,No,Mailed check,92.94,6412.86,No
C00134,Male,1,No,Yes,5,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),20.53,102.65,Yes
C00135,Male,0,No,No,49,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,76.37,3742.13,No
C00136,Female,0,Yes,Yes,59,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),36.84,2173.56,No
C00137,Male,0,Yes,No,1,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),50.96,50.96,Yes
C00138,Male,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,One year,No,Mailed check,119.98,8278.62,No
C00139,Female,0,No,Yes,53,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,116.13,6154.89,No
C00140,Male,0,Yes,Yes,1,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Mailed check,116.78,116.78,No
C00141,Male,0,Yes,Yes,32,Yes,Yes,DSL,No,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),53.28,1704.96,No
C00142,Male,0,Yes,No,34,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),83.33,2833.22,No
C00143,Female,0,No,No,65,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),88.63,5760.95,No
C00144,Male,1,Yes,No,57,Yes,No,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),31.8,1812.6,No
C00145,Female,0,No,Yes,14,Yes,No,No,No,No,No,No,No,No,Two year,No,Electronic check,34.08,477.12,No
C00146,Female,0,Yes,Yes,38,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,92.57,3517.66,No
C00147,Female,0,Yes,Yes,51,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),113.29,5777.79,No
C00148,Male,0,No,Yes,30,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),32.44,973.2,No
C00149,Female,1,No,No,4,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,No,Mailed check,82.15,328.6,No
C00150,Female,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,No,Bank transfer (automatic),118.6,8183.4,No
C00151,Female,0,Yes,No,43,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Electronic check,24.8,1066.4,Yes
C00152,Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,One year,No,Mailed check,90.93,5001.15,No
C00153,Male,0,No,Yes,4,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),23.64,94.56,Yes
C00154,Male,1,Yes,No,67,Yes,No,No,No,No,No,No,No,No,One year,Yes,Mailed check,30.3,2030.1,No
C00155,Male,0,Yes,Yes,51,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),52.86,2695.86,Yes
C00156,Male,0,No,No,61,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Electronic check,20.64,1259.04,No
C00157,Male,0,No,Yes,12,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.44,773.28,No
C00158,Female,0,Yes,Yes,45,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,72.51,3262.95,Yes
C00159,Female,0,No,No,56,Yes,Yes,No,No,No,No,No,No,No,One year,No,Mailed check,37.47,2098.32,No
C00160,Female,0,Yes,Yes,26,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,One year,No,Mailed check,110.78,2880.28,Yes
C00161,Male,0,Yes,Yes,52,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),64.65,3361.8,No
C00162,Male,0,Yes,No,28,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Electronic check,75.82,2122.96,No
C00163,Male,0,No,No,14,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),60.34,844.76,Yes
C00164,Male,0,Yes,Yes,23,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),85.82,1973.86,No
C00165,Male,0,Yes,Yes,38,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,One year,No,Mailed check,87.28,3316.64,No
C00166,Male,0,No,Yes,28,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,51.4,1439.2,No
C00167,Male,0,Yes,No,44,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,24.66,1085.04,No
C00168,Male,0,No,Yes,10,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,35.78,357.8,No
C00169,Male,0,Yes,No,34,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),89.04,3027.36,No
C00170,Male,0,Yes,No,42,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Mailed check,69.86,2934.12,No
C00171,Male,0,Yes,No,59,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),27.12,1600.08,No
C00172,Male,0,Yes,Yes,33,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,50.53,1667.49,No
C00173,Male,0,Yes,Yes,4,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,109.56,438.24,Yes
C00174,Female,0,No,No,24,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),112.77,2706.48,Yes
C00175,Female,0,No,No,40,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Mailed check,98.79,3951.6,No
C00176,Female,1,Yes,No,4,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),50.37,201.48,No
C00177,Male,0,Yes,Yes,51,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),107.46,5480.46,No
C00178,Female,0,Yes,No,26,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),25.6,665.6,No
C00179,Male,0,No,No,68,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),79.78,5425.04,No
C00180,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Credit card (automatic),99.51,4676.97,No
C00181,Male,0,Yes,Yes,11,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,115.24,1267.64,Yes
C00182,Female,0,No,No,6,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,73.56,441.36,Yes
C00183,Male,0,No,Yes,44,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Electronic check,64.12,2821.28,No
C00184,Female,0,Yes,Yes,63,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Mailed check,33.63,2118.69,No
C00185,Female,0,No,No,24,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.43,2218.32,No
C00186,Male,0,No,No,69,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,108.14,7461.66,No
C00187,Female,0,Yes,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),64.35,579.15,No
C00188,Female,1,No,Yes,64,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),90.21,5773.44,No
C00189,Female,0,Yes,No,14,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),35.99,503.86,No
C00190,Male,0,No,Yes,26,Yes,Yes,DSL,Yes,No,No,No,No,Yes,One year,No,Electronic check,113.55,2952.3,No
C00191,Male,0,Yes,Yes,18,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),107.16,1928.88,No
